SKU,material,colour,model,season
MT4Y3,FineWoven Case,Pacific Blue,iPhone 15 Pro Max,Autumn 2023
MT3J3,FineWoven Case,Evergreen,iPhone 15,Autumn 2023
MT4F3,FineWoven Case,Evergreen,iPhone 15 Plus,Autumn 2023
MT4U3,FineWoven Case,Evergreen,iPhone 15 Pro,Autumn 2023
MT503,FineWoven Case,Evergreen,iPhone 15 Pro Max,Autumn 2023

MT203,Clear Case,Clear Case,iPhone 15,Autumn 2023
MT213,Clear Case,Clear Case,iPhone 15 Plus,Autumn 2023
MT223,Clear Case,Clear Case,iPhone 15 Pro,Autumn 2023
MT233,Clear Case,Clear Case,iPhone 15 Pro Max,Autumn 2023
